problem_statement,required_skills,project,tenure,skills,discipline
,,Web application for personal productivity management,Third Year,"React, MongoDB, JavaScript",
,,Blockchain platform for real estate listings,Fourth Year,"Solidity, DApp Development, Ethereum",
,,Web application for environmental data management,Fourth Year,"Node.js, React, JavaScript",
,,Web application for personal productivity management,Fourth Year,"MongoDB, Node.js, JavaScript",
,,Data visualization tool for environmental data,First Year,"Data Analysis, D3.js, SQL",
,,Data visualization tool for educational content,Third Year,"Data Analysis, SQL, Python",
,,Data visualization tool for real estate listings,Fourth Year,"SQL, Python, Data Analysis",
,,Mobile app to track educational content,Fourth Year,"Kotlin, Firebase, Swift",
,,IoT solution for environmental data,Fourth Year,"Raspberry Pi, IoT, Arduino",
,,AI system to predict health monitoring,Second Year,"Python, TensorFlow, Data Science",
,,Mobile app to track environmental data,Second Year,"Swift, UX/UI Design, Kotlin",
,,Blockchain platform for educational content,Second Year,"Solidity, Ethereum, DApp Development",
,,Security tool to detect financial transactions,Fourth Year,"Cybersecurity, Ethical Hacking, Network Security",
,,Data visualization tool for health monitoring,Third Year,"Data Analysis, Python, D3.js",
,,Security tool to detect fitness activity,Fourth Year,"Network Security, Python, Cybersecurity",
,,Cloud service to facilitate fitness activity,First Year,"Serverless Architecture, Azure, Cloud Computing",
,,AI system to predict financial transactions,First Year,"Data Science, TensorFlow, Python",
,,Security tool to detect social media trends,First Year,"Cybersecurity, Python, Ethical Hacking",
,,Data visualization tool for real estate listings,Third Year,"D3.js, Data Analysis, Python",
,,AI system to predict personal productivity,Second Year,"Data Science, Machine Learning, Python",
,,Web application for social media trends management,Fourth Year,"React, JavaScript, MongoDB",
,,Mobile app to track health monitoring,Second Year,"UX/UI Design, Firebase, Kotlin",
,,IoT solution for community services,First Year,"Arduino, IoT, Raspberry Pi",
,,Data visualization tool for environmental data,Fourth Year,"D3.js, Python, SQL",
,,Blockchain platform for fitness activity,Second Year,"Solidity, Smart Contracts, DApp Development",
,,AI system to predict event,Fourth Year,"Machine Learning, TensorFlow, Data Science",
,,Data visualization tool for community services,Fourth Year,"Python, Data Analysis, D3.js",
,,Web application for environmental data management,Second Year,"React, MongoDB, Node.js",
,,Data visualization tool for event,Fourth Year,"SQL, Data Analysis, Python",
,,Blockchain platform for community services,Fourth Year,"DApp Development, Smart Contracts, Solidity",
,,Cloud service to facilitate environmental data,Third Year,"Serverless Architecture, AWS, Cloud Computing",
,,Cloud service to facilitate health monitoring,Second Year,"Azure, AWS, Cloud Computing",
,,Security tool to detect health monitoring,Fourth Year,"Python, Network Security, Cybersecurity",
,,Web application for financial transactions management,Second Year,"React, Node.js, MongoDB",
,,IoT solution for real estate listings,First Year,"Raspberry Pi, IoT, Arduino",
,,AI system to predict financial transactions,Second Year,"Machine Learning, TensorFlow, Data Science",
,,Web application for financial transactions management,Fourth Year,"JavaScript, MongoDB, Node.js",
,,Cloud service to facilitate social media trends,Second Year,"Cloud Computing, Azure, AWS",
,,Mobile app to track financial transactions,First Year,"UX/UI Design, Swift, Kotlin",
,,Security tool to detect environmental data,Fourth Year,"Cybersecurity, Ethical Hacking, Python",
,,Data visualization tool for community services,Third Year,"D3.js, Data Analysis, Python",
,,Cloud service to facilitate event,First Year,"Azure, AWS, Serverless Architecture",
,,Data visualization tool for environmental data,Fourth Year,"Data Analysis, Python, D3.js",
,,Security tool to detect real estate listings,Third Year,"Cybersecurity, Network Security, Ethical Hacking",
,,IoT solution for financial transactions,Fourth Year,"Arduino, Sensor Networks, IoT",
,,Security tool to detect social media trends,Third Year,"Cybersecurity, Ethical Hacking, Network Security",
,,Data visualization tool for real estate listings,Third Year,"SQL, D3.js, Data Analysis",
,,Web application for health monitoring management,Third Year,"React, Node.js, MongoDB",
,,Data visualization tool for fitness activity,First Year,"Data Analysis, SQL, Python",
,,AI system to predict educational content,Second Year,"Machine Learning, Python, Data Science",
,,Cloud service to facilitate real estate listings,Third Year,"Azure, AWS, Serverless Architecture",
,,Blockchain platform for fitness activity,Second Year,"Smart Contracts, Solidity, Ethereum",
,,AI system to predict environmental data,Fourth Year,"TensorFlow, Data Science, Python",
,,Data visualization tool for fitness activity,Second Year,"Python, D3.js, Data Analysis",
,,Security tool to detect social media trends,First Year,"Network Security, Ethical Hacking, Cybersecurity",
,,Cloud service to facilitate personal productivity,First Year,"Azure, AWS, Serverless Architecture",
,,IoT solution for community services,Fourth Year,"Sensor Networks, IoT, Arduino",
,,Cloud service to facilitate health monitoring,Fourth Year,"Serverless Architecture, Azure, Cloud Computing",
,,IoT solution for environmental data,First Year,"Sensor Networks, IoT, Arduino",
,,IoT solution for fitness activity,First Year,"IoT, Arduino, Raspberry Pi",
,,Cloud service to facilitate financial transactions,Third Year,"AWS, Cloud Computing, Serverless Architecture",
,,AI system to predict financial transactions,First Year,"TensorFlow, Machine Learning, Data Science",
,,Mobile app to track real estate listings,Fourth Year,"UX/UI Design, Firebase, Swift",
,,IoT solution for community services,Fourth Year,"IoT, Raspberry Pi, Sensor Networks",
,,Security tool to detect financial transactions,Fourth Year,"Python, Cybersecurity, Network Security",
,,AI system to predict health monitoring,Third Year,"Machine Learning, Data Science, Python",
,,Cloud service to facilitate financial transactions,Third Year,"Azure, AWS, Cloud Computing",
,,Security tool to detect personal productivity,First Year,"Cybersecurity, Ethical Hacking, Network Security",
,,Mobile app to track event,First Year,"Swift, Kotlin, UX/UI Design",
,,Security tool to detect real estate listings,Fourth Year,"Cybersecurity, Python, Network Security",
,,Cloud service to facilitate real estate listings,Fourth Year,"Azure, Serverless Architecture, AWS",
,,Mobile app to track educational content,Second Year,"Kotlin, UX/UI Design, Firebase",
,,Cloud service to facilitate community services,Second Year,"AWS, Serverless Architecture, Cloud Computing",
,,IoT solution for financial transactions,Fourth Year,"Sensor Networks, IoT, Arduino",
,,Data visualization tool for real estate listings,Fourth Year,"SQL, Data Analysis, Python",
,,Security tool to detect financial transactions,Fourth Year,"Cybersecurity, Ethical Hacking, Network Security",
,,Security tool to detect financial transactions,Fourth Year,"Python, Cybersecurity, Ethical Hacking",
,,Web application for health monitoring management,Fourth Year,"Node.js, React, MongoDB",
,,Blockchain platform for community services,Fourth Year,"Solidity, DApp Development, Smart Contracts",
,,IoT solution for financial transactions,Second Year,"IoT, Raspberry Pi, Sensor Networks",
,,Cloud service to facilitate social media trends,Second Year,"AWS, Serverless Architecture, Azure",
,,Blockchain platform for environmental data,Third Year,"Solidity, Smart Contracts, DApp Development",
,,AI system to predict social media trends,Third Year,"Python, TensorFlow, Data Science",
,,Cloud service to facilitate community services,First Year,"Serverless Architecture, Azure, Cloud Computing",
,,Security tool to detect fitness activity,First Year,"Python, Network Security, Ethical Hacking",
,,Security tool to detect fitness activity,Second Year,"Ethical Hacking, Network Security, Cybersecurity",
,,Cloud service to facilitate social media trends,Fourth Year,"Azure, Serverless Architecture, AWS",
,,Web application for financial transactions management,First Year,"Node.js, JavaScript, React",
,,Mobile app to track personal productivity,Fourth Year,"UX/UI Design, Kotlin, Swift",
,,Cloud service to facilitate personal productivity,Third Year,"AWS, Serverless Architecture, Azure",
,,Cloud service to facilitate health monitoring,Second Year,"Serverless Architecture, Azure, AWS",
,,Security tool to detect event,Third Year,"Python, Ethical Hacking, Network Security",
,,Blockchain platform for personal productivity,Third Year,"Solidity, Smart Contracts, Ethereum",
,,IoT solution for health monitoring,First Year,"IoT, Raspberry Pi, Arduino",
,,Blockchain platform for environmental data,Fourth Year,"Solidity, DApp Development, Ethereum",
,,Blockchain platform for educational content,Second Year,"Ethereum, Solidity, Smart Contracts",
,,Mobile app to track environmental data,Fourth Year,"Firebase, Swift, Kotlin",
,,Cloud service to facilitate financial transactions,Second Year,"Cloud Computing, Serverless Architecture, AWS",
,,Security tool to detect educational content,Third Year,"Cybersecurity, Network Security, Python",
,,AI system to predict event,Third Year,"Python, Machine Learning, Data Science",
,,Blockchain platform for health monitoring,Third Year,"Ethereum, DApp Development, Smart Contracts",
,,IoT solution for real estate listings,Second Year,"Sensor Networks, IoT, Arduino",
,,AI system to predict community services,Fourth Year,"TensorFlow, Data Science, Machine Learning",
,,Blockchain platform for event,Third Year,"DApp Development, Smart Contracts, Solidity",
,,Blockchain platform for event,Second Year,"Solidity, Smart Contracts, Ethereum",
,,Data visualization tool for social media trends,Third Year,"Python, Data Analysis, SQL",
,,Data visualization tool for social media trends,First Year,"SQL, D3.js, Data Analysis",
,,Blockchain platform for social media trends,Third Year,"Solidity, Smart Contracts, DApp Development",
,,Web application for social media trends management,Second Year,"Node.js, MongoDB, React",
,,IoT solution for fitness activity,Second Year,"Raspberry Pi, Sensor Networks, Arduino",
,,Blockchain platform for social media trends,Third Year,"DApp Development, Ethereum, Smart Contracts",
,,Web application for health monitoring management,Third Year,"MongoDB, JavaScript, Node.js",
,,Security tool to detect health monitoring,Fourth Year,"Network Security, Python, Cybersecurity",
,,Web application for environmental data management,Third Year,"MongoDB, React, JavaScript",
,,Data visualization tool for fitness activity,Third Year,"SQL, D3.js, Python",
,,AI system to predict event,First Year,"TensorFlow, Data Science, Python",
,,Security tool to detect financial transactions,First Year,"Cybersecurity, Network Security, Ethical Hacking",
,,Data visualization tool for financial transactions,Third Year,"SQL, Python, Data Analysis",
,,Cloud service to facilitate event,First Year,"Cloud Computing, Serverless Architecture, Azure",
,,Blockchain platform for financial transactions,Second Year,"Solidity, DApp Development, Ethereum",
,,IoT solution for real estate listings,Fourth Year,"Sensor Networks, Raspberry Pi, Arduino",
,,Web application for event management,Fourth Year,"React, JavaScript, MongoDB",
,,Web application for real estate listings management,Fourth Year,"MongoDB, JavaScript, React",
,,Data visualization tool for social media trends,Second Year,"D3.js, Python, SQL",
,,Data visualization tool for financial transactions,Third Year,"Python, SQL, Data Analysis",
,,Blockchain platform for educational content,First Year,"Solidity, Smart Contracts, Ethereum",
,,Data visualization tool for health monitoring,Second Year,"SQL, Data Analysis, Python",
,,Security tool to detect event,Second Year,"Network Security, Ethical Hacking, Python",
,,Data visualization tool for community services,Fourth Year,"Python, D3.js, SQL",
,,Security tool to detect event,Fourth Year,"Cybersecurity, Python, Network Security",
,,Web application for financial transactions management,Second Year,"JavaScript, Node.js, React",
,,AI system to predict personal productivity,Third Year,"Machine Learning, Python, Data Science",
,,IoT solution for personal productivity,Second Year,"Sensor Networks, IoT, Raspberry Pi",
,,Security tool to detect environmental data,Fourth Year,"Python, Network Security, Cybersecurity",
,,Security tool to detect financial transactions,Fourth Year,"Network Security, Cybersecurity, Python",
,,Blockchain platform for educational content,First Year,"Solidity, DApp Development, Smart Contracts",
,,Cloud service to facilitate educational content,Fourth Year,"Azure, Cloud Computing, AWS",
,,Mobile app to track fitness activity,Fourth Year,"Kotlin, Swift, UX/UI Design",
,,AI system to predict social media trends,Third Year,"Machine Learning, Python, TensorFlow",
,,Security tool to detect event,Second Year,"Python, Network Security, Cybersecurity",
,,Data visualization tool for community services,First Year,"SQL, D3.js, Data Analysis",
,,AI system to predict environmental data,First Year,"TensorFlow, Data Science, Python",
,,AI system to predict environmental data,Second Year,"Data Science, Python, TensorFlow",
,,IoT solution for health monitoring,First Year,"Sensor Networks, IoT, Raspberry Pi",
,,Security tool to detect personal productivity,First Year,"Python, Network Security, Cybersecurity",
,,Data visualization tool for social media trends,First Year,"Python, D3.js, SQL",
,,AI system to predict educational content,Third Year,"Machine Learning, Data Science, TensorFlow",
,,Security tool to detect fitness activity,First Year,"Python, Network Security, Cybersecurity",
,,Security tool to detect social media trends,First Year,"Network Security, Ethical Hacking, Cybersecurity",
,,Mobile app to track real estate listings,Third Year,"UX/UI Design, Swift, Kotlin",
,,Blockchain platform for environmental data,Third Year,"Ethereum, Smart Contracts, DApp Development",
,,Security tool to detect fitness activity,Third Year,"Network Security, Ethical Hacking, Python",
,,AI system to predict social media trends,Fourth Year,"Data Science, TensorFlow, Machine Learning",
,,Cloud service to facilitate environmental data,First Year,"AWS, Cloud Computing, Azure",
,,Cloud service to facilitate community services,Third Year,"Serverless Architecture, Azure, Cloud Computing",
,,Cloud service to facilitate health monitoring,Second Year,"Azure, Cloud Computing, Serverless Architecture",
,,Security tool to detect real estate listings,First Year,"Ethical Hacking, Network Security, Cybersecurity",
,,Cloud service to facilitate community services,Third Year,"Cloud Computing, AWS, Serverless Architecture",
,,Web application for environmental data management,Fourth Year,"MongoDB, JavaScript, Node.js",
,,Security tool to detect event,First Year,"Network Security, Python, Ethical Hacking",
,,Web application for environmental data management,Second Year,"Node.js, MongoDB, React",
,,Data visualization tool for financial transactions,First Year,"Data Analysis, D3.js, SQL",
,,Data visualization tool for event,Third Year,"Data Analysis, D3.js, Python",
,,AI system to predict environmental data,First Year,"Data Science, TensorFlow, Python",
,,Cloud service to facilitate personal productivity,First Year,"Cloud Computing, AWS, Serverless Architecture",
,,Mobile app to track health monitoring,Fourth Year,"Firebase, Kotlin, UX/UI Design",
,,Mobile app to track fitness activity,Second Year,"Swift, Firebase, Kotlin",
,,IoT solution for social media trends,Third Year,"Raspberry Pi, IoT, Arduino",
,,Cloud service to facilitate educational content,Fourth Year,"Azure, Serverless Architecture, Cloud Computing",
,,AI system to predict educational content,Fourth Year,"Machine Learning, TensorFlow, Python",
,,Security tool to detect financial transactions,Third Year,"Ethical Hacking, Python, Network Security",
,,Data visualization tool for fitness activity,Fourth Year,"Data Analysis, D3.js, SQL",
,,Blockchain platform for environmental data,Fourth Year,"Smart Contracts, Solidity, DApp Development",
,,Cloud service to facilitate health monitoring,Fourth Year,"AWS, Azure, Cloud Computing",
,,Security tool to detect health monitoring,Fourth Year,"Network Security, Python, Ethical Hacking",
,,Blockchain platform for fitness activity,Fourth Year,"Solidity, Ethereum, DApp Development",
,,Security tool to detect personal productivity,Fourth Year,"Network Security, Ethical Hacking, Cybersecurity",
,,Cloud service to facilitate financial transactions,Second Year,"Azure, AWS, Cloud Computing",
,,Blockchain platform for personal productivity,Second Year,"Solidity, Ethereum, Smart Contracts",
,,IoT solution for fitness activity,First Year,"Sensor Networks, Arduino, IoT",
,,Cloud service to facilitate fitness activity,Third Year,"Serverless Architecture, AWS, Azure",
,,Blockchain platform for environmental data,Second Year,"Smart Contracts, Solidity, Ethereum",
,,AI system to predict health monitoring,Fourth Year,"Data Science, Python, TensorFlow",
,,Mobile app to track fitness activity,First Year,"Kotlin, UX/UI Design, Swift",
,,Blockchain platform for community services,Fourth Year,"Solidity, Smart Contracts, Ethereum",
,,Data visualization tool for educational content,First Year,"Data Analysis, Python, SQL",
,,Security tool to detect health monitoring,Third Year,"Ethical Hacking, Network Security, Cybersecurity",
,,Blockchain platform for environmental data,Second Year,"Smart Contracts, Solidity, Ethereum",
,,Web application for health monitoring management,First Year,"MongoDB, JavaScript, Node.js",
,,Data visualization tool for community services,Fourth Year,"Data Analysis, D3.js, Python",
,,Cloud service to facilitate event,First Year,"Serverless Architecture, Cloud Computing, AWS",
,,Web application for social media trends management,Third Year,"MongoDB, JavaScript, Node.js",
,,Blockchain platform for health monitoring,First Year,"Solidity, Ethereum, Smart Contracts",
,,AI system to predict fitness activity,Second Year,"Python, Data Science, TensorFlow",
,,IoT solution for community services,Second Year,"Sensor Networks, Arduino, Raspberry Pi",
,,Cloud service to facilitate personal productivity,Fourth Year,"Cloud Computing, Serverless Architecture, Azure",
,,Security tool to detect fitness activity,Third Year,"Network Security, Cybersecurity, Python",
,,Blockchain platform for real estate listings,Third Year,"DApp Development, Smart Contracts, Solidity",
,,Web application for fitness activity management,Second Year,"Node.js, React, JavaScript",
,,IoT solution for event,First Year,"Sensor Networks, IoT, Raspberry Pi",
,,Data visualization tool for community services,Fourth Year,"SQL, Python, D3.js",
,,Data visualization tool for community services,Third Year,"SQL, D3.js, Python",
,,IoT solution for fitness activity,Third Year,"Sensor Networks, IoT, Arduino",
,,Cloud service to facilitate financial transactions,Third Year,"Azure, AWS, Serverless Architecture",
,,IoT solution for financial transactions,Third Year,"Arduino, Raspberry Pi, IoT",
,,Web application for event management,First Year,"Node.js, React, JavaScript",
,,Mobile app to track health monitoring,Third Year,"Firebase, Kotlin, Swift",
,,AI system to predict real estate listings,Second Year,"Machine Learning, Data Science, TensorFlow",
,,Mobile app to track social media trends,First Year,"Swift, Firebase, UX/UI Design",
,,Data visualization tool for health monitoring,Third Year,"Python, Data Analysis, D3.js",
,,Blockchain platform for community services,Third Year,"Ethereum, Smart Contracts, DApp Development",
,,AI system to predict health monitoring,Fourth Year,"TensorFlow, Data Science, Python",
,,Mobile app to track environmental data,Second Year,"Firebase, Kotlin, Swift",
,,AI system to predict educational content,Third Year,"Data Science, Machine Learning, Python",
,,IoT solution for environmental data,Fourth Year,"Sensor Networks, Arduino, Raspberry Pi",
,,Cloud service to facilitate health monitoring,Third Year,"Azure, Serverless Architecture, Cloud Computing",
,,IoT solution for environmental data,First Year,"Raspberry Pi, IoT, Arduino",
,,AI system to predict personal productivity,First Year,"Machine Learning, TensorFlow, Python",
,,AI system to predict social media trends,Second Year,"Data Science, Machine Learning, TensorFlow",
,,Mobile app to track health monitoring,Second Year,"Firebase, UX/UI Design, Swift",
,,Web application for community services management,Third Year,"JavaScript, React, MongoDB",
,,Mobile app to track educational content,Third Year,"Swift, Firebase, UX/UI Design",
,,Data visualization tool for real estate listings,Fourth Year,"SQL, Python, D3.js",
,,Mobile app to track fitness activity,Fourth Year,"Firebase, UX/UI Design, Kotlin",
,,Security tool to detect social media trends,Fourth Year,"Ethical Hacking, Network Security, Python",
,,Web application for social media trends management,Third Year,"MongoDB, React, Node.js",
,,Mobile app to track event,Fourth Year,"UX/UI Design, Swift, Firebase",
,,Web application for real estate listings management,Second Year,"JavaScript, MongoDB, Node.js",
,,Security tool to detect health monitoring,Third Year,"Cybersecurity, Ethical Hacking, Python",
,,Security tool to detect fitness activity,Third Year,"Ethical Hacking, Cybersecurity, Network Security",
,,AI system to predict educational content,Second Year,"Data Science, Machine Learning, TensorFlow",
,,Mobile app to track event,Second Year,"Kotlin, Firebase, Swift",
,,IoT solution for health monitoring,First Year,"Arduino, Sensor Networks, IoT",
,,Mobile app to track community services,Fourth Year,"Swift, Firebase, Kotlin",
,,Web application for environmental data management,Second Year,"MongoDB, JavaScript, Node.js",
,,Security tool to detect environmental data,Third Year,"Python, Network Security, Ethical Hacking",
,,Web application for fitness activity management,Second Year,"Node.js, JavaScript, React",
,,AI system to predict financial transactions,Second Year,"TensorFlow, Data Science, Python",
,,Security tool to detect personal productivity,Second Year,"Cybersecurity, Network Security, Python",
,,Web application for educational content management,Second Year,"Node.js, JavaScript, React",
,,Cloud service to facilitate personal productivity,Third Year,"Cloud Computing, AWS, Serverless Architecture",
,,AI system to predict real estate listings,Fourth Year,"Python, TensorFlow, Machine Learning",
,,Blockchain platform for community services,Second Year,"Smart Contracts, Solidity, DApp Development",
,,Security tool to detect fitness activity,Second Year,"Cybersecurity, Python, Ethical Hacking",
,,Security tool to detect environmental data,Second Year,"Python, Ethical Hacking, Cybersecurity",
,,IoT solution for health monitoring,First Year,"Arduino, Raspberry Pi, IoT",
,,Blockchain platform for health monitoring,Third Year,"Solidity, Smart Contracts, Ethereum",
,,Cloud service to facilitate real estate listings,Third Year,"Cloud Computing, Azure, AWS",
,,IoT solution for social media trends,Fourth Year,"IoT, Sensor Networks, Raspberry Pi",
,,Security tool to detect event,First Year,"Network Security, Ethical Hacking, Python",
,,Cloud service to facilitate event,Fourth Year,"Cloud Computing, Serverless Architecture, Azure",
,,Mobile app to track real estate listings,Third Year,"UX/UI Design, Swift, Firebase",
,,Security tool to detect event,First Year,"Ethical Hacking, Network Security, Python",
,,AI system to predict educational content,Third Year,"Machine Learning, TensorFlow, Data Science",
,,Security tool to detect financial transactions,Third Year,"Network Security, Ethical Hacking, Python",
,,Blockchain platform for personal productivity,First Year,"Smart Contracts, DApp Development, Ethereum",
,,Cloud service to facilitate environmental data,Fourth Year,"Serverless Architecture, Cloud Computing, AWS",
,,Data visualization tool for personal productivity,Fourth Year,"D3.js, Python, SQL",
,,AI system to predict social media trends,Third Year,"Python, Machine Learning, TensorFlow",
,,IoT solution for financial transactions,Second Year,"Sensor Networks, Raspberry Pi, IoT",
,,Security tool to detect educational content,First Year,"Python, Cybersecurity, Ethical Hacking",
,,Cloud service to facilitate community services,First Year,"Azure, Serverless Architecture, Cloud Computing",
,,Mobile app to track health monitoring,Third Year,"Firebase, UX/UI Design, Kotlin",
,,Web application for educational content management,Third Year,"React, JavaScript, Node.js",
,,AI system to predict health monitoring,Fourth Year,"Python, TensorFlow, Data Science",
,,Data visualization tool for environmental data,First Year,"Data Analysis, Python, D3.js",
,,Data visualization tool for personal productivity,First Year,"Data Analysis, Python, SQL",
,,IoT solution for educational content,Fourth Year,"IoT, Arduino, Raspberry Pi",
,,Data visualization tool for community services,Fourth Year,"D3.js, Python, Data Analysis",
,,Web application for health monitoring management,Third Year,"JavaScript, React, Node.js",
,,Data visualization tool for social media trends,Second Year,"Python, Data Analysis, SQL",
,,Data visualization tool for environmental data,Fourth Year,"Data Analysis, Python, SQL",
,,IoT solution for health monitoring,Fourth Year,"Arduino, Sensor Networks, IoT",
,,Web application for educational content management,Second Year,"JavaScript, React, Node.js",
,,Cloud service to facilitate financial transactions,First Year,"Azure, AWS, Serverless Architecture",
,,AI system to predict personal productivity,Second Year,"Machine Learning, TensorFlow, Python",
,,AI system to predict educational content,First Year,"TensorFlow, Python, Data Science",
,,Security tool to detect personal productivity,Second Year,"Ethical Hacking, Python, Network Security",
,,IoT solution for personal productivity,Third Year,"IoT, Arduino, Raspberry Pi",
,,Security tool to detect event,Third Year,"Cybersecurity, Network Security, Ethical Hacking",
,,AI system to predict environmental data,Third Year,"Python, Data Science, TensorFlow",
,,Mobile app to track personal productivity,First Year,"Firebase, UX/UI Design, Kotlin",
,,Data visualization tool for event,Third Year,"Python, SQL, D3.js",
,,IoT solution for event,Fourth Year,"IoT, Sensor Networks, Raspberry Pi",
,,Blockchain platform for financial transactions,Second Year,"DApp Development, Ethereum, Smart Contracts",
,,Data visualization tool for real estate listings,Second Year,"Python, SQL, D3.js",
,,IoT solution for social media trends,Second Year,"Arduino, Sensor Networks, Raspberry Pi",
,,Web application for fitness activity management,Second Year,"Node.js, React, MongoDB",
,,Web application for social media trends management,Second Year,"Node.js, React, JavaScript",
,,Data visualization tool for health monitoring,First Year,"SQL, D3.js, Data Analysis",
,,AI system to predict fitness activity,Third Year,"TensorFlow, Python, Machine Learning",
,,IoT solution for community services,Second Year,"Raspberry Pi, Arduino, IoT",
,,Mobile app to track personal productivity,First Year,"UX/UI Design, Swift, Firebase",
,,Security tool to detect educational content,Third Year,"Cybersecurity, Python, Ethical Hacking",
,,Data visualization tool for personal productivity,Third Year,"SQL, Data Analysis, Python",
,,Cloud service to facilitate health monitoring,Fourth Year,"Azure, Cloud Computing, Serverless Architecture",
,,IoT solution for community services,Fourth Year,"Raspberry Pi, IoT, Arduino",
,,IoT solution for environmental data,Fourth Year,"IoT, Sensor Networks, Raspberry Pi",
,,IoT solution for health monitoring,Third Year,"Arduino, IoT, Sensor Networks",
,,Cloud service to facilitate event,Third Year,"AWS, Serverless Architecture, Azure",
,,Mobile app to track environmental data,First Year,"Firebase, Kotlin, UX/UI Design",
,,Mobile app to track real estate listings,First Year,"Firebase, UX/UI Design, Kotlin",
,,Mobile app to track real estate listings,Third Year,"Kotlin, Firebase, Swift",
,,Cloud service to facilitate personal productivity,Third Year,"Cloud Computing, Serverless Architecture, AWS",
,,Blockchain platform for event,Third Year,"DApp Development, Solidity, Ethereum",
,,Mobile app to track health monitoring,Second Year,"UX/UI Design, Swift, Kotlin",
,,Mobile app to track educational content,Fourth Year,"Kotlin, Swift, UX/UI Design",
,,IoT solution for real estate listings,Third Year,"Arduino, Sensor Networks, IoT",
,,Cloud service to facilitate community services,Fourth Year,"AWS, Azure, Serverless Architecture",
,,Web application for fitness activity management,Fourth Year,"MongoDB, Node.js, React",
,,Cloud service to facilitate environmental data,First Year,"Serverless Architecture, Cloud Computing, AWS",
,,Blockchain platform for social media trends,Third Year,"Solidity, Ethereum, DApp Development",
,,AI system to predict educational content,Second Year,"Python, Data Science, Machine Learning",
,,Blockchain platform for environmental data,First Year,"Ethereum, Smart Contracts, Solidity",
,,Mobile app to track real estate listings,Third Year,"Kotlin, Swift, Firebase",
,,Cloud service to facilitate community services,Third Year,"Azure, AWS, Serverless Architecture",
,,Cloud service to facilitate educational content,First Year,"AWS, Serverless Architecture, Azure",
,,Cloud service to facilitate educational content,First Year,"AWS, Serverless Architecture, Cloud Computing",
,,Blockchain platform for educational content,Fourth Year,"Solidity, Ethereum, DApp Development",
,,Cloud service to facilitate health monitoring,First Year,"Azure, Serverless Architecture, AWS",
,,Security tool to detect social media trends,Fourth Year,"Ethical Hacking, Python, Cybersecurity",
,,Web application for real estate listings management,Third Year,"React, MongoDB, Node.js",
,,IoT solution for fitness activity,First Year,"Sensor Networks, Arduino, Raspberry Pi",
,,Blockchain platform for event,Second Year,"Solidity, DApp Development, Smart Contracts",
,,Security tool to detect financial transactions,Fourth Year,"Python, Ethical Hacking, Network Security",
,,Web application for event management,Fourth Year,"JavaScript, Node.js, React",
,,IoT solution for personal productivity,Third Year,"Raspberry Pi, Arduino, IoT",
,,IoT solution for real estate listings,Second Year,"Sensor Networks, Raspberry Pi, IoT",
,,Blockchain platform for fitness activity,Fourth Year,"Ethereum, Solidity, DApp Development",
,,Data visualization tool for financial transactions,Fourth Year,"D3.js, Python, Data Analysis",
,,Security tool to detect health monitoring,Second Year,"Python, Ethical Hacking, Cybersecurity",
,,Web application for fitness activity management,Fourth Year,"JavaScript, React, Node.js",
,,IoT solution for financial transactions,First Year,"IoT, Raspberry Pi, Arduino",
,,Blockchain platform for real estate listings,Third Year,"DApp Development, Smart Contracts, Ethereum",
,,Mobile app to track fitness activity,Second Year,"UX/UI Design, Kotlin, Firebase",
,,Cloud service to facilitate fitness activity,Third Year,"Azure, Serverless Architecture, AWS",
,,Data visualization tool for educational content,Second Year,"Data Analysis, D3.js, Python",
,,IoT solution for environmental data,Third Year,"Raspberry Pi, Arduino, Sensor Networks",
,,Data visualization tool for social media trends,Second Year,"Python, Data Analysis, SQL",
,,Data visualization tool for fitness activity,Fourth Year,"Python, D3.js, SQL",
,,AI system to predict event,First Year,"Machine Learning, Python, Data Science",
,,IoT solution for event,Second Year,"Arduino, Sensor Networks, Raspberry Pi",
,,Cloud service to facilitate educational content,Second Year,"Cloud Computing, AWS, Azure",
,,Cloud service to facilitate environmental data,First Year,"AWS, Serverless Architecture, Cloud Computing",
,,IoT solution for financial transactions,Second Year,"Raspberry Pi, IoT, Arduino",
,,Blockchain platform for community services,First Year,"Ethereum, Smart Contracts, Solidity",
,,Web application for environmental data management,Third Year,"JavaScript, React, MongoDB",
,,Data visualization tool for social media trends,Third Year,"SQL, Python, D3.js",
,,Mobile app to track social media trends,First Year,"Swift, UX/UI Design, Kotlin",
,,Cloud service to facilitate social media trends,Second Year,"Serverless Architecture, Azure, AWS",
,,Security tool to detect educational content,Third Year,"Cybersecurity, Ethical Hacking, Network Security",
,,Mobile app to track health monitoring,First Year,"UX/UI Design, Kotlin, Swift",
,,Blockchain platform for personal productivity,Fourth Year,"DApp Development, Ethereum, Solidity",
,,Security tool to detect event,First Year,"Network Security, Ethical Hacking, Cybersecurity",
,,AI system to predict event,First Year,"TensorFlow, Python, Machine Learning",
,,Mobile app to track fitness activity,First Year,"Firebase, UX/UI Design, Swift",
,,Blockchain platform for environmental data,Second Year,"DApp Development, Smart Contracts, Solidity",
,,Mobile app to track financial transactions,Third Year,"Swift, Kotlin, UX/UI Design",
,,Web application for financial transactions management,First Year,"JavaScript, MongoDB, React",
,,AI system to predict financial transactions,First Year,"Data Science, Python, TensorFlow",
,,AI system to predict personal productivity,Second Year,"TensorFlow, Python, Data Science",
